,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
1366,"¡Sal del closet... perdón, del baño!",Juan Francisco Yáñez,Fallido,Distrito Federal,"Un hombre atrapado en el baño de mujeres... ¿Suerte o tortura?
La comedia más divertida del año te necesita para su esperado estreno.",hombre atrapado baño mujeres suerte tortura comedia divertida año necesita esperado estreno,"['atrapado', 'esperado', 'bano']",60,18800,2,Teatro
1367,Arte para todos mediante la música,Jonathan García Hidalgo,Fallido,Distrito Federal,"Impulsando la carrera de mi artista, busco gente que nos ayude a este proyecto.",impulsando carrera artista busco gente ayude proyecto,"['ayude', 'carrera artista']",58,30000,2,Música
1368,Urban cards: Make a postcards to a book,Book Design Games Video STL 3D RAW RPGs,Exitoso,Distrito Federal,Thanks for your support !,thanks support,['support'],50,10,2,Cómic
1369,TERROR MEXICANO,Abraham Alvarez Del Rio,Fallido,Baja California,Diferentes historias basadas en leyendas de estados de Mexico,diferentes historias basadas leyendas mexico,['historias basadas leyendas'],43,59600,2,Editorial
1370,RoynezStudios / proyect1: ¡¡no mi taco!!,Juan Jose Roynez,Fallido,Veracruz-Llave,"Estamos desarrollando un juego divertido y entretenido para todos, prepara tu celular android para la mejor experiencia de su vida.",desarrollando juego divertido entretenido prepara celular android mejor experiencia vida,"['juego', 'mejor experiencia']",38,700,2,Juegos
1371,Transit Kid,Transit Kid,Fallido,Guanajuato,Un video juego sobre niños que van cruzando la calle obedeciendo señales de tránsito; saltando obstáculos y almacenando puntos.,video juego niños van cruzando calle obedeciendo señales tránsito saltando obstáculos almacenando puntos,"['juego', 'almacenando', 'ninos']",38,150000,2,Juegos
1372,Marble Launcher 3000 (CUIRIAS),Ricardo Heres M. (SOMNIANS),Fallido,Baja California,New and fun game of marbles (PRINTABLE FILES),new fun game marbles printable files,"['printable', 'fun game']",37,9000,2,Juegos
1373,Haus of Science,Santiago Rovira Plancarte,Fallido,Baja California Sur,Una compañía (casa) de drag dedicada a la divulgación de la ciencia en México. A drag house committed with science div in Mexico. Loo,compañía casa drag dedicada divulgación ciencia méxico drag house committed science div mexico loo,"['mexico', 'casa drag']",36,5000,2,Teatro
1374,Cassievaches. Arte Ecológico. Figuras de Papel Maché.,Casandra,Fallido,Mexico,Arte Ecológico. Figuras de Papel Maché usando material reciclado.,arte ecológico figuras papel maché usando material reciclado,"['material', 'ecologico figuras']",33,20000,2,Arte
1375,Origins of house in the dance floor,Saúl,Fallido,Nuevo Leon,We want to start a new concept in the northern part of Mexico educating the dance floor about house music,want start new concept northern part mexico educating dance floor house music,"['concept', 'start', 'house']",33,6000,2,Música
1376,Water Hunters,Water Hunters,Fallido,Guanajuato,Videojuego sobre el cuidado y saneamiento del agua.,videojuego cuidado saneamiento agua,['agua'],33,300000,2,Juegos
1377,Podcast: CuatesEnDebates,Carlos Cisneros,Fallido,Nuevo Leon,"El inicio de un proyecto que significa ganar-ganar. Mejoramos nuestra producción con su ayuda, mientras nos esforzamos en entretener.",inicio proyecto significa ganarganar mejoramos producción ayuda mientras esforzamos entretener,"['esforzamos', 'proyecto significa']",33,15000,2,Editorial
1378,"Proyecto ""La espada del ancestro""",Thelibrary,Fallido,Distrito Federal,"planeo hacer una serie animada súbitamente espectacular, como si fuera un anime. Ya tengo un guion, falta dinero para tener lo demás.",planeo hacer serie animada súbitamente espectacular si anime guion falta dinero tener demás,"['guion', 'tener', 'hacer']",30,1000000,2,Cine y video
1379,Mascaras y props,All's tom's,Fallido,Nuevo Leon,"Una linea de mascaras, props para cosplay, sacadas de videojuegos o películas, realizadas con tecnicas como el papercraft.",linea mascaras props cosplay sacadas videojuegos películas realizadas tecnicas papercraft,"['tecnicas', 'mascaras props']",29,7000,2,Arte
1380,Pagedmoth,Sofía Hnidey (deleted),Fallido,Distrito Federal,"Help us create great music videos for dj Pagedmoth.
https://open.spotify.com/artist/6CTjBSqyLGCYlV4W27PYHC",help us create great music videos dj pagedmoth,['create great music'],29,5000,2,Cine y video
1381,Serie Animada AWANTA WEE (skateboarding),Jesus Carreon Muñoz,Fallido,Baja California,Serie Animada que relata las aventuras de 5 Chicos skaters de secundaria,serie animada relata aventuras chicos skaters secundaria,"['animada', 'chicos skaters']",29,40000,2,Cine y video
1382,¡Una saga fantastica!,Ricardo Cortes,Fallido,Distrito Federal,"Pretendo un proyecto mas especificamente: un libro.
El primero de lo que calculo sera una saga de doce libros.",pretendo proyecto mas especificamente libro primero calculo sera saga doce libros,"['libro', 'libros', 'proyecto mas']",28,70000,2,Editorial
1383,The dream of the education: A story of change,Consejo Interno Unificado De Alumnos,Fallido,Baja California,Create specific studies that allow to know and solve the current situation of education in Mexico.,create specific studies allow know solve current situation education mexico,"['specific', 'situation education']",28,100000,2,Editorial
1384,Beca Universitaria Tegnologica,Manuel Adonay Rueda Jimenez,Fallido,Sinaloa,"Deseo desde hace mucho estudiar Ingenieria en Sistemas Computacionales, y crear mi propio software y apps",deseo hace estudiar ingenieria sistemas computacionales crear propio software apps,"['software', 'hace estudiar']",28,249800,2,Editorial
