,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
919,CRUZ CORTOMETRAJE,GabrielaE,Argentina,"La historia de un padre y una hija, su distancia y su cercanía, un reencuentro familiar cargado de historia.",2974,72,2700,19,Cine y video
920,SALTO CÓSMICO,Maia Morea,Argentina,Sé parte del SALTO! Ya estamos grabando y en Agosto presentamos las canciones! Compra anticipadamente el EP y las entradas de los shows.,11886,72,4200,54,Música
921,HISTORIAS DE AMOR BAJO LLUVIA,carolinaperrotta,Argentina,"Una comedia (no) romántica con banda ao vivo. Estreno: Febrero 2015. 4 historias, 8 personajes y una estética muy hipster.",3529,72,5600,38,Artes escénicas
922,SÉ EL PUENTE!,lechuga cósmica,Argentina,"Busco cómplices, para seguir adelante con este proyecto de crear puentes entre las palabras impresas y los ojos que las lean .",1183,72,3100,29,Editorial
923,VIAJANDO DESPIERTO,mer_lara,Argentina,Un libro para colorear para adultos que libera tu creatividad sobre Barcelona · Tokio · Berlín · Buenos Aires · San Francisco.,7876,71,7800,189,Diseño
924,MIENTRAS SE ESPERA,paolavillabida,México,"Documental que cuenta la historia de 5 mujeres en un asilo, de donde no salen y donde nadie las visita, excepto sus fantasmas del pasado",50200,71,13500,48,Cine y video
925,SANTULLO GRABA SU NUEVO DISCO,Fernando Santullo,Uruguay,"Producción de ""El mar sin miedo"", nuevo disco de Santullo, autor de los temas de Bajofondo El mareo (cantada por Gustavo Cerati) y Lluvia.",66790,71,16800,153,Música
926,CRÓNICAS DEL CIELO Y LA TIERRA,TantaAgua editorial,Argentina,"El nuevo libro de Mariano Ribas. Los fenómenos del cielo que cambiaron el rumbo de la humanidad, de la estrella de Belén al Titanic.",35229,71,14100,209,Editorial
927,MANAL JAVIER MARTINEZ-CD NUEVO,Fabio Scaturchio,Argentina,"El nuevo CD Manal Javier Martínez, el pionero del rock nacional, con temas inéditos. Edición limitada. Venta anticipada.",2330,71,5600,25,Música
928,"""MOIRAS"" OBRA TEATRAL",Julia Di Ciocco,Argentina,Un proyecto cultivado entre mujeres para tejer redes y buscar desde el teatro herramientas de visibilización de la violencia de género,6961,71,2600,35,Artes escénicas
929,DINOSAURIOS DE PAPEL P/ ARMAR,Guardabosques,Argentina,Queremos financiar el lanzamiento de una colección de 10 cráneos dinosaurios de papel para armar,11451,70,33500,366,Diseño
930,¡GIRA EUROPA Y ONE LOVE FEST!,Buenas y Santas,Argentina,Tocaremos en el One Love Festival en Inglaterra y giraremos por Europa. ¡No te pierdas la oportunidad de formar parte de Buenas y Santas!,13840,70,3800,76,Música
931,DISCO DEBUT DE JESSIE ROBINS,Cristóbal Bravo Rivas,Chile,Te invitamos a ser parte de este proyecto que nace por el amor a la música y por el sueño de 3 pibes relocos,48049,70,6800,34,Música
932,ACAPULCO,Lucila Pace,Argentina,"El largometraje ""Acapulco"" es el proyecto final de la carrera de Diseño de Imagen y Sonido a filmarse durante el verano 2014 - 2015",3415,69,9800,491,Cine y video
933,REBOBINADO LA PELICULA,Juan Francisco Otaño,Argentina,"La música te transportara al recuerdo, queda en vos cambiarlo",11389,69,13300,73,Cine y video
934,"LA FIRULATA, EL DOCUMENTAL",kika,Argentina,"Somos La Firulata, una escuela de circo ubicada en Chacabuco, Buenos Aires, Argentina y queremos hacer un documental",7958,69,9600,43,Cine y video
935,"""PRESENCIA"" A FESTIVALES",DiegoValdesR,Chile,"""Presencia"" es un corto que habla de límites y salud mental, de actuación y de libertad, todo hecho en toma continua y Puedes verlo Aquí!",29602,69,1400,16,Cine y video
936,TODO LO QUE PUEDE EL VIENTO,Todo lo que puede el viento,Argentina,"Cortometraje de ficción que habla sobre la identidad y la memoria, realizado por estudiantes de Diseño de Imagen y Sonido de la UBA.",11307,69,2900,37,Cine y video
937,CANCIONERO MUJERTROVA 2018,paulaferre,Argentina,"Edición del Cancionero MUJERTROVA 2018. Libro con letras, acordes y disco en mp3 de 45 compositoras de Argentina y otros países.",11291,69,6700,51,Música
938,CIRCO DEMENTE COBRA VIDA,Inmerso,Argentina,"El pasado 15/06 presentamos en las redes ""Circo Demente"" nuestro segundo disco de estudio. Ahora necesitamos tenerlo en nuestras manos!",7948,69,4200,68,Música
939,LOS CABALLEROS DE LA ROSA,jjconti,Argentina,"Editar e imprimir mi segundo libro de cuentos. Una vez impreso, estará disponible en Internet con una licencia Creative Commons.",16567,69,9700,26,Editorial
940,MEET THE GAME 2015,Ramza Pilgrim,Argentina,"MTG es un evento que reune a todos los juegos desarollados en Argentina durante un día completo. Ademas de charlas, talleres y mucho mas.",6806,69,16000,288,Juegos
941,ME VUELVO YOUTUBER POLÍTICO,Yamil Santoro,Argentina,Creo que hace falta generar un canal divertido y dinámico de análisis político. Me ofrezco a explicar lo que pasa: monólogos y entrevistas.,5686,69,12100,25,Cine y video
942,ARLT AL TEATRO,Fernando Santana,Argentina,Colectivo de artistas que busca llevar adelante la proeza de adaptar y llevar a escena Los siete locos y Los lanzallamas de Arlt,4444,68,6400,56,Artes escénicas
943,DIANA REGRESA TRAILER,vera,Argentina,Para darle difusión y lograr un mayor alcance de público de nuestra obra de teatro Diana Regresa queremos hacer un trailer.,1111,68,2300,14,Artes escénicas
944,MAREA MUERTA,rapsodiamacabra,Chile,"Un cortometraje que cuenta la historia de Enrique, un hombre que atraviesa distintos estados emocionales tras la muerte de su esposa.",11812,68,2800,18,Cine y video
945,CUANDO MI JEFE SE VA-SERIE WEB,CuandoMiJefeSeVa,Argentina,"Un grupo de oficinistas que hace de todo en su trabajo, menos trabajar. Y vos ¿qué hacés cuando tu jefe se va? Realizado para la U.N.A",2683,68,6000,162,Cine y video
