,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
1046,QUE NO SE ACABE EL SHOW,OTRO PLAN films,Argentina,"""Que no se acabe el Show"" busca homenajear al fallecido cantante e indagar en su más grande logro: llegar al corazón de las personas.",acabe show busca homenajear fallecido cantante indagar grande logro llegar corazón personas, corazon   homenajear   llegar ,5474,55,7200,28,Cine y video
1047,¡5TA DEL LOBO GRABA NUEVO EP!,5ta del Lobo,Argentina,Vos podés colaborar en la grabación del nuevo material discográfico de 5ta del Lobo,podés colaborar grabación nuevo material discográfico 5ta lobo, colaborar   nuevo material ,7092,54,1800,29,Música
1048,VINILO DEBUT BENJAMIN VE :),Benjamin Ve,Chile,"Soy Benjamin Ve, músico independiente. Ayúdame a hacer mi primer álbum en vinilo para entregártelo y agradecerte personalmente.",benjamin músico independiente ayúdame hacer primer álbum vinilo entregártelo agradecerte personalmente, musico   entregartelo agradecerte ,22452,54,1200,23,Música
1049,PRIMER DISCO DE TERRÍCOLA.,Ramiro Vivanco,Argentina,"Terricola (primera parte), es un disco de 8 canciones grabado de manera totalmente independiente y autogestionada.",terricola primera parte disco canciones grabado manera totalmente independiente autogestionada, independiente   primera parte ,2239,54,2100,10,Música
1050,PRESENTAMOS NUESTRO PRIMER CD!,BABEL ORKESTA,Argentina,SOMOS UNA COMPAÑIA QUE COMBINA LA MUSICA Y EL TEATRO. PRESENTAMOS NUESTRO CD Y QUEREMOS PRODUCIRLO CON TODO. AYUDANOS A CUMPLIR EL SUEÑO!,compañia combina musica teatro presentamos cd queremos producirlo ayudanos cumplir sueño, teatro   producirlo   combina ,6044,54,9500,53,Música
1051,LA METTRIE CORTOMETRAJE,La Mettrie,Argentina,"Hola, somos tres realizadores audiovisuales, con una muy buena historia entre manos y muchas ganas de contarla :)",hola tres realizadores audiovisuales buena historia manos muchas ganas contarla, tres   muchas ganas ,3037,54,11400,444,Diseño
1052,LOS RESTOS DE LA NAVIDAD,Triedro Producciones,Argentina,Obra de teatro de Triedro Producciones. Necesitamos juntar fondos para financiar el montaje de la misma.,obra teatro triedro producciones necesitamos juntar fondos financiar montaje misma, montaje   teatro triedro ,1608,54,5500,203,Artes escénicas
1053,LA EDAD DE ORO,Florencia Fossati,Argentina,"A los 100 años, Renée sueña con nuevos proyectos y nos comparte su receta para vivir plenamente.",años renée sueña nuevos proyectos comparte receta vivir plenamente, renee   vivir   suena ,33020,54,3200,41,Cine y video
1054,5TA DEL LOBO GRABA 2DO DISCO,5ta del Lobo,Argentina,Proyecto para la grabación del segundo disco de estudio de 5ta del Lobo.,proyecto grabación segundo disco estudio 5ta lobo, grabacion segundo disco ,7095,54,10100,429,Música
1055,IVANKA CORTOMETRAJE,Ivanka Shortfilm,Chile,Ivanka es un cortometraje ficción post-apocalíptico que reflexiona sobre el rol del ser humano en la destrucción del planeta tierra.,ivanka cortometraje ficción postapocalíptico reflexiona rol ser humano destrucción planeta tierra, cortometraje   destruccion planeta ,30517,53,4600,46,Cine y video
1056,REINA DE CORAZONES,Reina de Corazones,Argentina,REINA DE CORAZONES es un documental acerca de una Cooperativa de teatro formado por chicas travestis y trans.,reina corazones documental acerca cooperativa teatro formado chicas travestis trans, travestis   corazones documental ,16074,53,25300,2469,Cine y video
1057,LA ENCOMIENDA,Leo Astudillo,Chile,"Un hombre es presentado con la oportunidad de redimirse, pero la cobardía es la opción más segura.",hombre presentado oportunidad redimirse cobardía opción segura, opcion   presentado oportunidad ,15301,53,1600,18,Cine y video
1058,SÉ PARTE DEL GUARDIÁN DEL RAYO,Marcelo,Argentina,"¿Me ayudas a publicar el primer volumen intitulado EL LEGADO, el cual forma parte de una apasionante trilogía?",ayudas publicar primer volumen intitulado legado forma parte apasionante trilogía, apasionante   publicar primer ,703,53,3700,7,Editorial
1059,NUEVO DISCO DE EDU SCHMIDT,eduschmidt,Argentina,"Quiero editar mi segundo disco solista, Chocho! en formato CD y para eso necesito la colaboración de todos ustedes.",quiero editar segundo disco solista chocho formato cd necesito colaboración ustedes, colaboracion   editar   chocho ,1761,53,10300,29,Artes escénicas
1060,TRINA LA DIUCA (2º DISCO),Trina la diuca,Argentina,Trina la diuca se encuentra grabando su segundo disco. A partir ahora necesitamos de tu ayuda para poder concretar nuestro proyecto!,trina diuca encuentra grabando segundo disco partir ahora necesitamos ayuda poder concretar proyecto, concretar   diuca encuentra ,8693,53,3500,74,Música
1061,"""UN OJO EN LA PARED""",ACaro,Chile,Documental sobre el proceso de grupo que atraviesan jóvenes actores al estudiar las técnicas de Sanford Meisner por primera vez en Chile,documental proceso grupo atraviesan jóvenes actores estudiar técnicas sanford meisner primera vez chile, proceso   primera vez ,90092,52,7600,56,Artes escénicas
1062,FRUTA Y MARAVILLA 2.0,Fruta y Maravilla,Argentina,"Llega una nueva tanda de libros de la editorial Patas de Cabra. Esta vez, hay poesía, relatos y novela. ¡Sumate!",llega nueva tanda libros editorial patas cabra vez poesía relatos novela sumate, nueva   relatos novela ,27239,52,3100,133,Editorial
1063,TEATRO POR EL MONDO,Gaston Dubini,Argentina,Somos un grupo de teatro que recorre Latinoamérica desde marzo. Nos restan dos meses de compartir nuestro trabajo. ¿Nos ayudas?,grupo teatro recorre latinoamérica marzo restan meses compartir trabajo ayudas, trabajo   teatro recorre ,7811,52,11700,48,Artes escénicas
1064,MÁS CIELO QUE OTRA COSA,Matías García,Argentina,"Palabras a la intemperie, inclemencias climáticas y un refugio de papel.",palabras intemperie inclemencias climáticas refugio papel, intemperie   climaticas refugio ,3768,52,5600,56,Editorial
1065,RICARDO III,Ricardo III,Argentina,Es la obra más representada de Shakespeare. Esta versión busca mostrar la actualidad del texto y crear mirada dinámica para el espectador.,obra representada shakespeare versión busca mostrar actualidad texto crear mirada dinámica espectador, representada   dinamica   mirada ,2059,52,2900,31,Artes escénicas
1066,"7 HISTORIAS, 7 MIRADAS",Producciones Grupo 07,Argentina,Somos un equipo de 7 estudiantes de la ENERC en busca de financiamiento para llevar a cabo 7 cortos que nos permitirán aprobar el año.,equipo estudiantes enerc busca financiamiento llevar cabo cortos permitirán aprobar año, aprobar   estudiantes enerc ,1699,52,961,9,Cine y video
1067,GIRA PUEBLOS DE MAX ZEGERS,Max Zegers,Chile,Un proyecto cultural de alto impacto que llevará música a 10 pueblos pequeños cuyos teatros municipales no siempre son tomados en cuenta.,proyecto cultural alto impacto llevará música pueblos pequeños cuyos teatros municipales siempre tomados cuenta, tomados   cultural alto ,149582,52,7600,66,Música
1068,LANZAMOS NUESTRO PRIMER DISCO!,Timeo Musica,Argentina,"Timeo Música te presenta su primer disco, ""El tiempo Voraz"" Queremos que seas parte de este sueño cumpliéndose!",timeo música presenta primer disco tiempo voraz queremos parte sueño cumpliéndose, sueno   musica   parte ,5964,52,2300,40,Música
1069,PHOENIX LIGHTS,Glickman Producciones,Argentina,"Videoclip sera la introducción de Peter Brando a la industria musical, con su primer proyecto audiovisual con una productora cordobesa.",videoclip sera introducción peter brando industria musical primer proyecto audiovisual productora cordobesa, sera   productora   introduccion ,7549,51,2200,42,Música
1070,¡MI PRIMER DISCO SOLISTA!,manuguitarrista,Argentina,"Este proyecto será mi primer disco solista, de raíz folklórica, con el fin de echar a volar algunas de mis canciones.",proyecto primer disco solista raíz folklórica fin echar volar canciones, volar   primer disco ,10114,51,9300,88,Música
1071,INMIGRANTE (NUEVO DISCO),Federico Pierro,Argentina,Álbum discográfico de tango que cuenta las historias transitadas por los inmigrantes italianos llegados a Argentina en los siglos XIX y XX,álbum discográfico tango cuenta historias transitadas inmigrantes italianos llegados argentina siglos xix xx, siglos   discografico tango ,3353,51,2100,14,Música
